"tenant_name","title","content","category","tags"
"CS Command Center","첫인사 기본 안내","안녕하세요! 저는 한국 Bomon Clinic 상담사 KANG입니다.

✨ Bomon Clinic 의 특별한 점 ✨
5년 연속 부정적인 평가 0건! 시술 실패 사례 0건 💎
20년 임상 경험을 가진 피부과 전문의 💎
모든 고객에게 1대1 원장님 직접 진료 💎
중국어 간체/번체 통역 서비스 제공

고객님께서 희망하는 시술이나 현재 고민부위를 말씀해주시겠어요?
적합한 시술정보를 안내해드리겠습니다!","일반정보","기본,상담,첫인사"
"CS Command Center","첫인사 부재중 안내","한국 Bomon Clinic에 연락해 주셔서 감사합니다.

저희 고객 서비스 시간은 한국 시간(KST) 오전 10시부터 오후 7시까지입니다 (대만 시간(TST) 오전 9시부터 오후 6시까지).

메시지를 잘 받았습니다. 서비스 시간 내에 상담원이 최대한 빠르게 답변드리겠습니다. 잠시만 기다려 주셔서 감사합니다.","일반정보","부재중,상담,시간,첫인사"
"CS Command Center","병원 진료 시간은 어떻게 되나요?  토요일 예약 늦어도 몇시 안내","네, 고객님. 저희 병원 진료 시간 내에는 대부분 예약이 가능합니다. 
월요일,수요일,목요일은 영업시간은 오전 10:00 ~ 오후 8:00, 화요일,금요일은 오전 10:00 ~ 오후 9:00, 토요일은 오전 10:00 ~ 오후 5:00 입니다. 
다만, 점심시간(오후 1:00 ~ 2:00, 토요일 제외)에는 진료 및 상담 예약이 어렵습니다.
일요일은 정기휴무일입니다.
예약을 희망하신다면 평일 10:00 ~ 18:30까지, 주말은 10:00 ~ 15:00까지 예약가능합니다.
상담과 시술까지 소요시간은 약 1시간에서 2시간정도 소요됩니다.
원활한 예약을 위해 희망하시는 날짜와 시간을 알려주시면 가능한 시간을 확인해 드립니다.","병원정보","기본정보,상담,시간,예약,운영시간"
"CS Command Center","어떤 시술이 적합할지 추천 해주세요 안내","네, 물론입니다. Bomon Clinic에서는 고객님의 피부 상태, 고민, 기대하는 효과 등을 정확히 파악하기 위해 1:1 맞춤 상담을 매우 중요하게 생각합니다. 
숙련된 의료진과의 상세한 상담을 통해 현재 고객님께 가장 적합하고 만족스러운 결과를 드릴 수 있는 시술을 추천해 드리고 있습니다. 
어떤 시술을 받아야 할지 전혀 모르셔도 괜찮으니 편안하게 방문하여 상담받아 보세요.
고객님께서 희망하는 시술이나 현재 고민부위를 말씀해주시겠어요?
적합한 시술정보를 안내해드리겠습니다!","방문정보","상담,시술추천,효과"
"CS Command Center","시술 전 주의사항이 있나요 안내","네, 안전하고 효과적인 시술을 위해 몇 가지 주의사항이 있습니다.
약물 복용:* 아스피린, 혈액 순환 개선제, 항응고제 등 출혈 경향을 높일 수 있는 약물은 시술 1주일 전부터 중단하시는 것이 좋습니다. 
(단, 질환으로 인해 반드시 복용해야 하는 약물은 상담 시 꼭 말씀해 주시고, 담당 의사와 상의 후 조절해 주세요.)
복용 중인 다른 약물이나 건강 보조 식품이 있다면 상담 시 모두 알려주시는 것이 좋습니다.
음주 및 흡연 : 음주와 흡연은 염증 반응을 유발하고 시술 후 회복을 더디게 할 수 있으므로, 시술 전날에는 금주, 금연하시는 것을 권장합니다. 
시술 후에도 일정 기간 피해주시는 것이 좋습니다.
피부 상태: 시술 부위에 염증이나 감염이 있는 경우 시술이 어려울 수 있습니다.
시술 전 과도한 스크럽이나 필링 등 피부에 자극을 줄 수 있는 관리는 피해주세요.
햇볕에 심하게 타거나 자극받은 피부는 진정된 후 시술받는 것이 좋습니다.
컨디션 조절: 시술 당일 충분한 수면을 취하고 좋은 컨디션을 유지해 주시는 것이 회복에 도움이 됩니다.
몸살이나 감기 기운이 있다면 미리 말씀해 주세요.
기타: 켈로이드 체질이나 특별한 알레르기가 있다면 상담 시 반드시 알려주세요.
임신 중이거나 수유 중인 경우 대부분의 시술이 제한될 수 있습니다.","방문정보","방문전 준비,상담,주의사항,회복,효과"
"CS Command Center","상담만 진행한다면 비용이 발생하나요 안내","네, 물론입니다. Bomon Clinic에서는 고객님의 충분한 이해와 신중한 결정을 존중합니다. 
상담만 먼저 받아보시고 시술은 추후에 결정하셔도 괜찮습니다. 
일반적으로 간단한 상담에는 별도의 비용이 발생하지 않으나, 정밀 진단 장비를 사용하거나 특별히 오랜 시간이 소요되는 심층 상담의 경우 소정의 상담료가 발생할 수 있습니다. 
예약 시 예약금(30,000원)을 결제 후 안내해 드리고 있으니 부담 갖지 마시고 문의해 주세요.","예약정보","비용,상담,상담만진행,시간,예약"
"CS Command Center","마취도 가능한가요 안내","시술 종류에 따라 통증의 정도는 다르며, Bomon Clinic에서는 고객님의 편안한 시술을 위해 다양한 통증 관리 시스템을 갖추고 있습니다.
통증이 거의 없는 시술:LDM 물방울 리프팅, 일부 가벼운 레이저 토닝 등은 마취 없이도 편안하게 받으실 수 있습니다.
약간의 따끔함이나 열감이 있는 시술:보톡스, 간단한 필러, 스킨부스터(리쥬란, 쥬베룩 등), 인모드 Forma 모드, 티타늄 리프팅 등은 약간의 불편함이 있을 수 있으며, 필요시 마취 크림을 사용합니다. 
티타늄 리프팅의 경우 자체 쿨링 시스템으로 통증이 적은 편입니다.
통증이 비교적 있는 시술:울쎄라, 써마지, 인모드 FX 모드, 실리프팅, CO2 프락셔널 레이저 등은 
시술 강도나 개인의 민감도에 따라 통증이 느껴질 수 있어 마취 크림, 무통주사(선택 사항)를 통해 통증을 조절합니다. 
무통주사는 10만원 추가비용이 발생합니다.
온다 리프팅의 경우 강력한 쿨링으로 통증이 적어 마취 없이 진행하기도 합니다.
마취 방법은 시술 종류와 고객님의 선호도에 따라 선택 가능하며, 상담 시 자세히 안내해 드립니다.","시술정보","LDM,공통,레이저,리쥬란,리프팅,마취,보톡스,비용,상담,스킨부스터,실리프팅,써마지,온다,울쎄라,인모드,주사,쥬베룩,통증,통증/마취,티타늄,필러"
"CS Command Center","시술은 얼마나 걸리나요 안내","시술 종류 및 범위에 따라 소요 시간은 다릅니다. 
대략적인 시간은 다음과 같습니다. (마취 시간은 별도일 수 있습니다.)
간단한 주사 시술 (예: 부위별 보톡스): 약 5~15분
레이저 토닝, LDM 등: 약 10~30분
스킨부스터 (리쥬란, 쥬베룩, 엑소좀 등): 약 20~40분 (주사 방식에 따라 다름)
필러: 부위 및 용량에 따라 약 20~40분
HIFU 리프팅 (울쎄라, 슈링크 등): 샷 수에 따라 약 30~60분 (예: 울쎄라 300샷 기준 약 30-40분)
고주파 리프팅 (써마지, 온다, 인모드 등): 부위 및 모드에 따라 약 30~60분 (예: 써마지 FLX 300샷 기준 약 40-50분, 인모드 전체 얼굴 약 40-60분)
실리프팅: 시술 범위 및 실의 종류에 따라 약 40분~1시간 30분CO2 프락셔널 레이저: 얼굴 전체 기준 약 20~30분
정확한 시간은 시술 계획에 따라 달라질 수 있습니다! 

저희 답변이 도움이 되셨을까요? 추가적으로 궁금하신점 있으시면 말씀해주세요!","시술정보","HIFU,LDM,고주파,공통,레이저,리쥬란,리프팅,마취,보톡스,슈링크,스킨부스터,시간,시술시간,실리프팅,써마지,엑소좀,온다,울쎄라,인모드,주사,쥬베룩,필러"
"CS Command Center","시술 효과가 어떻게 되나요 안내","시술마다 효과가 나타나는 시기와 지속 기간이 다릅니다.
즉각적인 효과
필러(볼륨), 일부 리프팅 레이저(온다, 티타늄 등은 시술 직후 어느 정도의 타이트닝감), LDM(피부 진정 및 보습) 

효과 
보톡스(주름 개선 약 3~7일 후, 사각턱 약 3~4주 후) 
스킨부스터(피부결 및 톤 개선, 수분감 증가는 수일에서 1-2주 후)
레이저 토닝(여러 번 시술 후 점진적 개선)

점진적인 효과 (1~3개월 후 최대 효과) 
울쎄라, 써마지, 인모드, 온다, 티타늄 리프팅(콜라겐 재생으로 1~3개월에 걸쳐 점진적으로 리프팅 및 타이트닝 효과 증대)
쥬베룩(콜라겐 생성으로 4주 후부터 점진적 개선) 
실리프팅(초기 물리적 리프팅 + 이후 콜라겐 생성)

유지 기간 
보톡스: 약 3~6개월 (근육량, 생활 습관에 따라 차이)
필러: 제품 및 부위에 따라 약 6개월~2년
스킨부스터 (리쥬란, 쥬베룩 등): 1회 
시술 효과는 수개월, 권장 횟수(예: 3회) 시술 시 6개월~1년 이상 (개인차 및 관리 따라 다름)
HIFU/고주파 리프팅 (울쎄라, 써마지, 인모드, 온다, 티타늄 등): 1회 시술로 6개월~1년 이상(개인차 있으며, 유지 시술 시 더 길어질 수 있음)
실리프팅: 실의 종류에 따라 6개월~2년 이상B

Bomon Clinic에서는 개인의 피부 상태와 생활 습관에 맞춰 최적의 효과와 유지 기간을 위한 맞춤 플랜을 제공합니다.

저희 답변이 도움이 되셨을까요? 추가적으로 궁금하신점 있으시면 말씀해주세요!","시술정보","HIFU,LDM,고주파,레이저,리쥬란,리프팅,보톡스,스킨부스터,시술후 관리,실리프팅,써마지,온다,울쎄라,인모드,쥬베룩,티타늄,필러,효과,효과및유지기간"
"CS Command Center","시술 후 회복기간 및 일상생활 가능 시점 문의","시술에 따라 다운타임은 크게 다릅니다.
다운타임 거의 없는 시술 (시술 직후 일상생활 가능) 
보톡스, LDM, 레이저 토닝, 티타늄 리프팅, 온다 리프팅, 써마지 FLX (간혹 약간의 붉은기), 인모드 Forma 모드 등.세안 및 샤워 당일 가능 
(단, 뜨거운 물이나 강한 마찰은 피해주세요)

시술 후 화장 당일 가능 (시술후 가볍게 하는 것이 좋습니다.)
시술 후 가벼운 운동은 당일날 가능

가벼운 다운타임 (1~3일 정도)
스킨부스터(리쥬란, 쥬베룩 등 - 주사 자국, 엠보싱, 약간의 멍), 간단한 필러 (붓기, 멍), 울쎄라 (약간의 붓기, 붉은기, 근육통 같은 느낌), 인모드 FX 모드 (멍, 붉은기)
세안 및 샤워: 당일 가능 (자극 최소화)
운동: 2~3일 후부터 가벼운 운동 시작하는것을 권장

주의가 필요한 다운타임 (3~7일 이상):
실리프팅(붓기, 멍, 통증, 당김 현상), CO2 프락셔널 레이저(붉은기, 딱지, 붓기 - 보통 5~7일 후 딱지 탈락), 깊은 부위 
필러
세안 및 샤워: 다음날 또는 의료진 지시에 따라 가능 (재생테이프 부착 시 유지)
화장: 피부가 완전히 진정되고 딱지가 떨어진 후 권장 (보통 1주일 후)
운동: 1주일 후부터 가벼운 운동 시작, 격렬한 운동은 2주 후부터
청담봄온에서는 시술 후 주의사항과 관리 방법을 상세히 안내드리며, 빠른 회복을 위한 맞춤형 후관리 프로그램도 운영하고 있습니다.","시술정보","LDM,레이저,리쥬란,리프팅,보톡스,스킨부스터,시술후 관리,실리프팅,써마지,온다,운영,울쎄라,인모드,주사,쥬베룩,통증,티타늄,필러,회복,회복기간/일상생활"
