매크로명,대분류,중분류,소분류,질문 카테고리,모범 답안
공통_첫인사_기본,공통,첫인사,기본,,"안녕하세요! 저는 한국 힐링안과 상담사 KANG입니다.

해외에서 의료 시술을 결정하는 데 신중함이 필요하다는 것을 잘 알고 있습니다. 고객님의 염려를 덜어드리고자 다음과 같은 네 가지 약속을 드립니다.

✅ 힐링안과의 네 가지 약속:
1. 결과로 증명하는 전문성: 원장님이 직접 1:1로 전 과정을 책임집니다.
2. 소통의 장벽 제로: 전문 의료 통역사가 전 과정에 걸쳐 정확하게 도와드립니다.
3. 간편한 결제: 해외 신용카드 또는 현금으로 결제 가능합니다 (텍스리펀 서비스는 제공되지 않습니다).
4. 평생 보증 사후 관리: 평생 치료 보증 서비스를 제공합니다.

고객님의 알고 계신 시력정보,각막두께, 노안 및 다른증상이 있다면 말씀해주시겠어요?
적합한 시술정보를 안내해드리겠습니다!"
공통_첫인사_부재중,공통,공통,부재중,,"힐링안과에 연락해 주셔서 감사합니다.

저희 고객 서비스 시간은 한국 시간(KST) 오전 10시부터 오후 7시까지입니다 (대만 시간(TST) 오전 9시부터 오후 6시까지).

메시지를 잘 받았습니다. 서비스 시간 내에 상담원이 최대한 빠르게 답변드리겠습니다. 잠시만 기다려 주셔서 감사합니다."
병원정보_기본정보_운영시간,병원정보,기본정보,운영시간,병원 진료 시간은 어떻게 되나요? ,"네, 고객님. 저희 병원 진료 시간 내에는 대부분 예약이 가능합니다. 
평일 영업시간은 오전 9:00 ~ 오후 6:30, 금요일 영업시간은 오전 9:00 ~ 오후 9:00, 토요일 오전 9:00 ~ 오후 2:00 입니다. 
다만, 점심시간(오후 1:00 ~ 2:00, 토요일 제외)에는 진료 및 상담 예약이 어렵습니다.
일요일은 정기휴무입니다.
당일수술을 희망하신다면 평일 09:00 ~ 16:30까지, 주말은 09:00 ~ 11:00까지 예약가능합니다.
검사와 상담과 수술까지 소요시간은 약 3시간에서 4시간정도 소요됩니다.
원활한 예약을 위해 희망하시는 날짜와 시간을 알려주시면 가능한 시간을 확인해 드립니다. "
,병원정보,기본정보,운영시간,"토요일에 예약을 잡고 싶은데, 특별히 알아야 할 제한 사항이 있나요?",
,병원정보,기본정보,운영시간,병원 언제까지 영업해요?,
,병원정보,기본정보,운영시간,토요일 예약 늦어도 몇시까지 가능한가요?,
병원정보_기본정보_위치,병원정보,기본정보,위치,위치는 어디에요?,"네, 고객님. 저희 힐링안과의 위치는 서울특별시 강남구 강남대로 470, 808타워 10층 및 11층입니다
신논현역 4번출구에서 도보 3분 거리입니다.
지도: https://maps.app.goo.gl/WjLQg7KZk9Zny12d8 "
가격_결제_할부,가격,결제,할부,수술 비용을 할부로 결제할 수도 있나요?  카드 할부 되나요?,"네, 고객님. 신용카드 결제가 가능하며, 카드사에 따라 무이자 할부 혜택을 이용하실 수 있습니다. 
할부 가능 개월 수는 카드사 정책에 따라 다르므로, 사용하시는 카드사에 문의해 보시는 것이 가장 정확합니다.
와우패스(Wowpass) 결제 방식을 지원하지 않습니다~

고객님의 편의를 위해 다양한 결제 방식을 제공합니다:
현금 결제 💵
신용카드 결제 💳

비자(Visa) 및 마스터카드(MasterCard) 지원
안과 수술은 부가세가 없으므로 세금 환급(Tax Refund)이 필요 없습니다❣"
,가격,결제,할부,카드 할부 되나요?,
가격_결제_수수료,가격,결제,수수료,카드 결제랑 현금 결제 시 수수료가 다른가요? 아니면 동일한가요? ,"네, 고객님. 현금 결제와 카드 결제 시 수술 비용은 동일하며, 카드 결제로 인한 별도의 수수료는 부과되지 않습니다.
할부 가능 개월 수는 카드사 정책에 따라 다르므로, 사용하시는 카드사에 문의해 보시는 것이 가장 정확합니다.
와우패스(Wowpass) 결제 방식을 지원하지 않습니다~

고객님의 편의를 위해 다양한 결제 방식을 제공합니다:
현금 결제 💵
신용카드 결제 💳

비자(Visa) 및 마스터카드(MasterCard) 지원
안과 수술은 부가세가 없으므로 세금 환급(Tax Refund)이 필요 없습니다❣"
